model,f1_weighted,f1_ci_low,f1_ci_high,overall_accuracy,oa_ci_low,oa_ci_high
RandomForest,0.9286,0.8969,0.951,0.931,0.9029,0.9512
DecisionTree,0.8992,0.8658,0.9246,0.8961,0.8658,0.9193
XGBoost,0.9282,0.8957,0.9503,0.9316,0.9022,0.9522
LightGBM,0.9316,0.9012,0.9525,0.9329,0.9054,0.9533
LinearSVC,0.8996,0.8625,0.9277,0.8973,0.8601,0.9248
