mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
67.61490488052368,24.245777360028914,0.15712718963623046,0.017936153500060517,0.05,-1,100,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8544293298163835,0.8599589491765691,0.8193257056860477,0.8426646775877903,0.8290516699949922,0.8410860664523566,0.015199081494705648,16
127.71869044303894,42.35832117232439,0.22853522300720214,0.034502539201260445,0.05,-1,100,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8560879813256109,0.8639816383855043,0.822063027180176,0.8392128098605371,0.830139380338285,0.8422969674180226,0.015666194870208813,10
112.33817682266235,17.93790495172056,0.343170166015625,0.0432497328205779,0.05,-1,200,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8565822854222945,0.87104484970388,0.8232329313301269,0.8360298326905087,0.8355638952434192,0.8444907588780459,0.017055768244885087,5
207.79456262588502,80.30332433119813,0.498413610458374,0.07168978621318113,0.05,-1,200,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8578969999356528,0.8712190223374258,0.8241975125649497,0.8353254697328973,0.835781401822535,0.8448840812786921,0.017117389553626364,1
45.944044733047484,9.89647747620696,0.15731916427612305,0.023662082994006878,0.05,10,100,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8537998938727611,0.8618028487297993,0.8172485219722129,0.8426843656360685,0.8301485435577884,0.841136834753726,0.016007661182679756,15
82.21172461509704,13.198314020805576,0.21849050521850585,0.027151516684845462,0.05,10,100,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8542880894100746,0.8623066848587624,0.8238786684972641,0.839434188361348,0.8271504756132168,0.8414116213481332,0.014947254352716257,14
97.25454950332642,14.450398914898598,0.3161513328552246,0.019894657412420715,0.05,10,200,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.85865233626671,0.8681815049579679,0.8216026446347898,0.8365679647750787,0.8342654694969557,0.8438539840263004,0.01703506557566934,8
159.89306626319885,9.453262440910985,0.41263208389282224,0.06475760379457414,0.05,10,200,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8596053895085906,0.8707107632005707,0.8274375900547447,0.8336838218294033,0.8323893655763321,0.8447653860339284,0.01714414045981529,4
54.994091796875,13.174489875022841,0.15692667961120604,0.012309834942678332,0.1,-1,100,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8561481280735412,0.8656990099682841,0.8202661855439101,0.8412712373838116,0.830235464328052,0.8427240050595198,0.016555879742074345,9
81.69316010475158,16.42864323171666,0.22374515533447265,0.02314343079243743,0.1,-1,100,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8559772572797629,0.8678566157651203,0.825842135856121,0.8268858410796849,0.8333005691296228,0.8419724838220624,0.016906324173034042,12
115.63703060150146,32.11580221086752,0.3586841106414795,0.04630237014281248,0.1,-1,200,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8612093381797741,0.8703251171643245,0.8224443717248672,0.8352917772365217,0.8349461702228419,0.8448433549056658,0.017933582823766753,2
199.5179307460785,64.79875036423522,0.4622840404510498,0.07772976280972702,0.1,-1,200,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8609965919926429,0.8707846857638613,0.8297274666180326,0.827858919579394,0.8346597334329999,0.8448054794773862,0.01763258240143614,3
41.9560923576355,12.308452386664463,0.16990766525268555,0.011539305280612191,0.1,10,100,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8579029577538924,0.8645101791171595,0.8228136886702065,0.8335567834391892,0.8322099842439359,0.8421987186448767,0.016091374338757257,11
93.73500647544861,52.69743129340035,0.2275726318359375,0.05114231093458289,0.1,10,100,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8557900725145663,0.8664139797819486,0.823959451657206,0.8322821966922308,0.8309781330408043,0.841884766737351,0.016294298095528237,13
103.93728713989258,13.029389818788367,0.3472626209259033,0.027488992020758503,0.1,10,200,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8611336097375112,0.8693174356640888,0.8252570083546589,0.8323397083490842,0.8331449749305853,0.8442385474071857,0.017546180857238452,7
41.83455905914307,35.306310595570615,0.2549191951751709,0.040871343180034235,0.1,10,200,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.861091804481505,0.8697804606494599,0.826677599701181,0.8297444656363189,0.8342462648043764,0.8443081190545682,0.017633538540782843,6
