mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4163619995117187,0.048709059763932035,0.004634571075439453,0.0002663888415036075,10,1,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7546430722904585,0.7537861597244175,0.7691083399031898,0.7444721580278595,0.7595170816669496,0.7563053623225751,0.00804196107723318,6
1.4134671211242675,0.050270885215524495,0.004479598999023437,0.00020907367694438322,10,1,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.7539235739890395,0.7437395815347561,0.7672807063461498,0.744822507814238,0.7586950170918717,0.753692277355211,0.008802900331729802,10
1.4078050136566163,0.05002288824922922,0.004433870315551758,0.00018822037740868981,10,2,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.7541885372877937,0.7573162971678176,0.7674855101937464,0.744937600268436,0.7598226350503416,0.7567501159936271,0.007363515958180622,4
1.4084882259368896,0.05127337750729671,0.004359388351440429,0.00023331747887062092,10,2,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7542152818324324,0.7581215557517783,0.7666920702177307,0.7450248343457588,0.7589145179623886,0.7565936520220177,0.00705964794818162,5
2.224882698059082,0.0910840621554525,0.00475764274597168,0.00022935797915284305,20,1,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7848912718457491,0.7445983158776603,0.7648382495118997,0.7303472383782534,0.7609361947386344,0.7571222540704394,0.01854158337603329,2
2.2172106742858886,0.08868220925543246,0.0047017097473144535,0.00024177334893733904,20,1,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.7829667641751292,0.7415941075269576,0.7674985252264309,0.7278631889893176,0.764527283205525,0.756889973824672,0.019633576424481818,3
2.1864068508148193,0.08609724451946404,0.0047779083251953125,0.00021731039341686692,20,2,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.7752515438016211,0.7525801617315265,0.759307913623396,0.7463126946224594,0.7640786924003946,0.7595062012358795,0.00990859673125922,1
2.1857064723968507,0.08754992261413598,0.004715824127197265,0.0002108027237652316,20,2,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7782119875669796,0.7520307280575534,0.7622555524470337,0.7247742519109718,0.7637791478090771,0.7562103335583231,0.017796633002747874,7
2.4033069133758547,0.11352336099093181,0.0047718524932861325,0.00022353287834104256,30,1,2,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7763101850333014,0.7302195873666343,0.7590432376466978,0.7333597881778933,0.7535353433308757,0.7504936283110805,0.017049619731663638,11
2.3967368602752686,0.11150703763941315,0.004726886749267578,0.00024329669196637,30,1,5,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.7714292714032155,0.7339992538628576,0.7619661011496043,0.7178903829050434,0.7557530199859115,0.7482076058613265,0.019526835338793534,12
2.3370022773742676,0.10989747680506973,0.004748344421386719,0.00021520496164550512,30,2,2,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.773634703320287,0.7496730275857506,0.7558792258967327,0.7334316204056427,0.7577614146541507,0.7540759983725127,0.012999641189626954,8
2.3427931308746337,0.11168167054567658,0.0047894477844238285,0.0002895034881003775,30,2,5,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7696721264591474,0.748152209768199,0.7626317662232779,0.7303542301359078,0.7593532996764122,0.7540327264525889,0.013726576275732892,9
