mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.8941975593566895,0.05816438954444401,0.049840545654296874,0.010266553436346576,10,sqrt,1,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.7736708505132486,0.806943145559602,0.7727196712191798,0.772556956989468,0.7820010712175256,0.7815783390998048,0.013160104989951718,31
5.433201694488526,0.4433891809438429,0.1336540699005127,0.03794275320931784,10,sqrt,1,200,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.7740587497538106,0.8101067999079952,0.7725033969585293,0.7706996303416583,0.7821274623416659,0.7818992078607319,0.014634923516403978,29
8.250756311416627,0.6030612337643632,0.1956645965576172,0.029828554475195373,10,sqrt,1,300,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7749353094319416,0.8119482673409228,0.7729196095707869,0.7707436870387795,0.7820511777451326,0.7825196102255126,0.015196179036869737,25
2.8867817401885985,0.21421903267454628,0.08035340309143066,0.023873360787396887,10,sqrt,2,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.7729406123806738,0.8089435453513028,0.7735983042929435,0.7716197102419899,0.7804142483340542,0.7815032841201928,0.014054515440732317,33
5.460720825195312,0.19709676053096356,0.14164633750915528,0.015536737919323522,10,sqrt,2,200,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.7735171424273558,0.8079208028550643,0.7744185236474876,0.772052751630794,0.7795860412863523,0.7814990523694108,0.013452478441383819,35
8.2887752532959,0.37326486308131046,0.2014313220977783,0.0354061190662518,10,sqrt,2,300,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.773289252246902,0.8102266453851471,0.7742140904256928,0.7718197939827711,0.7818786974238887,0.7822856958928803,0.014397806931393317,27
2.9136327266693116,0.17619525707921865,0.07332463264465332,0.010111186033220245,10,log2,1,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.7736708505132486,0.806943145559602,0.7727196712191798,0.772556956989468,0.7820010712175256,0.7815783390998048,0.013160104989951718,31
5.498950862884522,0.23388706911025706,0.15971641540527343,0.013612624728297495,10,log2,1,200,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.7740587497538106,0.8101067999079952,0.7725033969585293,0.7706996303416583,0.7821274623416659,0.7818992078607319,0.014634923516403978,29
8.150376176834106,0.3940217675573031,0.21909704208374023,0.0340041986270956,10,log2,1,300,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7749353094319416,0.8119482673409228,0.7729196095707869,0.7707436870387795,0.7820511777451326,0.7825196102255126,0.015196179036869737,25
2.919176387786865,0.31162108403911604,0.08261528015136718,0.023682459246082494,10,log2,2,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.7729406123806738,0.8089435453513028,0.7735983042929435,0.7716197102419899,0.7804142483340542,0.7815032841201928,0.014054515440732317,33
5.338429403305054,0.22517270519704577,0.15450787544250488,0.01703223481247878,10,log2,2,200,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.7735171424273558,0.8079208028550643,0.7744185236474876,0.772052751630794,0.7795860412863523,0.7814990523694108,0.013452478441383819,35
8.390207242965698,0.3555283375902762,0.221244478225708,0.021241072948911078,10,log2,2,300,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.773289252246902,0.8102266453851471,0.7742140904256928,0.7718197939827711,0.7818786974238887,0.7822856958928803,0.014397806931393317,27
4.081899404525757,0.4510710394576184,0.11107687950134278,0.010807493681712523,20,sqrt,1,100,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8256881899228127,0.818514827218404,0.8018702123994772,0.7626445919020212,0.8090265904466134,0.8035488823778657,0.02200051200065495,23
8.513618993759156,0.2504098407451449,0.18900623321533203,0.016504731227017944,20,sqrt,1,200,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.827034645396913,0.8170843257095539,0.8030732084988166,0.7652255289657028,0.8098492007596396,0.8044533818661252,0.021162695424994167,17
12.468920230865479,0.5990705404523787,0.28379197120666505,0.016780365698948817,20,sqrt,1,300,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.827480979921307,0.8158778981295007,0.8030121859178878,0.7657491029075978,0.8103029467550619,0.804484622726271,0.02095280710996517,15
4.286536598205567,0.24453543556220303,0.11415858268737793,0.01550498360054129,20,sqrt,2,100,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.8273234575982339,0.8176838400418394,0.8018134519411984,0.7663316096063753,0.8070040537300389,0.8040312825835372,0.020803553666140926,21
8.179714488983155,0.4115661073086114,0.19299697875976562,0.030748122675177323,20,sqrt,2,200,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.8252962318966318,0.8199134402961203,0.8032468576519657,0.769906944387876,0.8095713422883639,0.8055869633041916,0.019432541427569103,11
11.971552181243897,0.7945505014500991,0.2589015007019043,0.03769276452318054,20,sqrt,2,300,"{'clf__max_depth': 20, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.8249764665922187,0.8184312844453424,0.8041727287807534,0.7717812775809907,0.8099905408179426,0.8058704596434495,0.01846479631019141,7
4.564755249023437,0.3941996925279121,0.11141524314880372,0.015656480888661856,20,log2,1,100,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8256881899228127,0.818514827218404,0.8018702123994772,0.7626445919020212,0.8090265904466134,0.8035488823778657,0.02200051200065495,23
8.574937438964843,0.38189536502436666,0.19134979248046874,0.01481756321913252,20,log2,1,200,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.827034645396913,0.8170843257095539,0.8030732084988166,0.7652255289657028,0.8098492007596396,0.8044533818661252,0.021162695424994167,17
12.290668630599976,0.5217910541188645,0.28968491554260256,0.024347955804215424,20,log2,1,300,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.827480979921307,0.8158778981295007,0.8030121859178878,0.7657491029075978,0.8103029467550619,0.804484622726271,0.02095280710996517,15
4.3547121524810795,0.23723597700416377,0.09948067665100098,0.006583800030372401,20,log2,2,100,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.8273234575982339,0.8176838400418394,0.8018134519411984,0.7663316096063753,0.8070040537300389,0.8040312825835372,0.020803553666140926,21
7.967386722564697,0.24413449493052033,0.18453474044799806,0.01830866387328671,20,log2,2,200,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.8252962318966318,0.8199134402961203,0.8032468576519657,0.769906944387876,0.8095713422883639,0.8055869633041916,0.019432541427569103,11
12.363070249557495,0.659716621719046,0.2768683433532715,0.024195738450602685,20,log2,2,300,"{'clf__max_depth': 20, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.8249764665922187,0.8184312844453424,0.8041727287807534,0.7717812775809907,0.8099905408179426,0.8058704596434495,0.01846479631019141,7
4.76953125,0.36716098657852625,0.11490960121154785,0.020173630845897,,sqrt,1,100,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8286523846631023,0.8166494369885015,0.8013891972821983,0.7606767734163872,0.812909318699724,0.8040554222099827,0.023370182625458556,19
9.06554479598999,0.27333269380049824,0.20030674934387208,0.04815203885381576,,sqrt,1,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8309513177801326,0.8184489129956097,0.8014164980993299,0.7646059730670365,0.8129505067559464,0.8056746417396111,0.022626523830735552,9
13.523077249526978,0.8187409078303687,0.30214686393737794,0.05536218754902246,,sqrt,1,300,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.8302636003169667,0.8207895916735605,0.8011227328535262,0.7632825479834504,0.8113496321817311,0.805361621001847,0.02316291730145338,13
4.39944429397583,0.1677776765546603,0.11765632629394532,0.014985924378862557,,sqrt,2,100,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.8292555632724642,0.822851066795573,0.8022590149462376,0.7702690091662637,0.8108588493479748,0.8070987007057028,0.020654544541985058,3
8.639247798919678,0.3088088826112399,0.19478487968444824,0.03009351507547118,,sqrt,2,200,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.8297528188293175,0.8235540504833148,0.801992756977257,0.7705141675670687,0.8113943529487758,0.8074416293611467,0.020815143326299287,1
12.766363048553467,0.7438271213403943,0.2916447639465332,0.01646447261654414,,sqrt,2,300,"{'clf__max_depth': None, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.8300131043638268,0.8213100302113231,0.804529979959437,0.7678170481855464,0.8108990374056314,0.8069138400251529,0.021405373269289762,5
4.670623731613159,0.29161613910479506,0.10639009475708008,0.014205879992142751,,log2,1,100,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8286523846631023,0.8166494369885015,0.8013891972821983,0.7606767734163872,0.812909318699724,0.8040554222099827,0.023370182625458556,19
8.942866086959839,0.31125119385014083,0.21514458656311036,0.03756598341719898,,log2,1,200,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.8309513177801326,0.8184489129956097,0.8014164980993299,0.7646059730670365,0.8129505067559464,0.8056746417396111,0.022626523830735552,9
13.212902450561524,0.41907998415676945,0.2876599788665771,0.027411841350907417,,log2,1,300,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.8302636003169667,0.8207895916735605,0.8011227328535262,0.7632825479834504,0.8113496321817311,0.805361621001847,0.02316291730145338,13
4.445533895492554,0.21071419226638427,0.1065126895904541,0.007906078471182024,,log2,2,100,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.8292555632724642,0.822851066795573,0.8022590149462376,0.7702690091662637,0.8108588493479748,0.8070987007057028,0.020654544541985058,3
8.597761058807373,0.2643813462947203,0.17750182151794433,0.049680541314348785,,log2,2,200,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.8297528188293175,0.8235540504833148,0.801992756977257,0.7705141675670687,0.8113943529487758,0.8074416293611467,0.020815143326299287,1
9.872183895111084,0.9626500732249604,0.06260347366333008,0.011297909339034544,,log2,2,300,"{'clf__max_depth': None, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.8300131043638268,0.8213100302113231,0.804529979959437,0.7678170481855464,0.8108990374056314,0.8069138400251529,0.021405373269289762,5
