mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7648771762847901,0.060827246221248805,0.031664562225341794,0.003991689865640158,0.6,0.05,4,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.7813986410667516,0.7721463367363891,0.7883018547204553,0.7741546524636348,0.7907860812934341,0.781357513256133,0.007400681611553323,30
1.6308740615844726,0.07977947198079526,0.031453418731689456,0.0030982027637420032,0.6,0.05,4,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.7816841246376056,0.7643008517058002,0.7846782752056412,0.7720468149520098,0.7896303333547864,0.7784680799711686,0.009115353749758661,32
3.424368906021118,0.1917308240896342,0.06299757957458496,0.0055306758577578375,0.6,0.05,4,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8059750671272933,0.8088621366275405,0.799523160882397,0.7812102043390026,0.8049010825084503,0.8000943302969367,0.009914623624091899,17
3.144364070892334,0.12618778785783552,0.06054954528808594,0.00863425519299042,0.6,0.05,4,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8034859182474648,0.8053110350066557,0.7987561366433739,0.7825565194174331,0.8035275884809188,0.7987274395591692,0.00837290582614125,22
2.4310110092163084,0.22782111418369344,0.04597907066345215,0.007726857899436267,0.6,0.05,6,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8059692307983017,0.7990772771815972,0.8010098670147615,0.7850442981995112,0.8051068803813684,0.7992415107151079,0.007541613603318175,19
2.391810083389282,0.1624706400698133,0.0447354793548584,0.004779054387204663,0.6,0.05,6,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8085801902696867,0.8002953046310173,0.7975908089052772,0.782627254307298,0.8048082262115284,0.7987803568649616,0.008910721148597481,21
4.830773782730103,0.24200758237389153,0.09435243606567383,0.013418617021185493,0.6,0.05,6,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8217421104392826,0.8175249782168358,0.8049618297370978,0.7850445488801037,0.8146914299213975,0.8087929794389435,0.013094924027736907,8
4.6703370094299315,0.19478522866123515,0.08763937950134278,0.012382399277383143,0.6,0.05,6,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8203908017188479,0.8194416600564007,0.8030146359449364,0.7851608482080475,0.8130308583253587,0.8082077608507184,0.013084479157030144,9
1.6687175750732421,0.06727862267265285,0.03387002944946289,0.005678758786009681,0.6,0.1,4,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8051705508232092,0.8035978678146047,0.7981885435392923,0.7849498288433129,0.806841756198131,0.79974970944371,0.007949398418033903,18
1.5820595264434814,0.046038621839397505,0.031092071533203126,0.003977940667310836,0.6,0.1,4,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8062772454939575,0.8002644096072237,0.7993938870559256,0.7765118467668904,0.8029893811741586,0.7970873540196313,0.010564594695533116,26
3.3632952690124513,0.09792262958164462,0.05562233924865723,0.007673367777959727,0.6,0.1,4,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8229009439207402,0.8288384488422472,0.8048056714922112,0.7848623512771905,0.8151384694358417,0.8113091769936462,0.015479264109936622,5
3.159355354309082,0.1544929201621232,0.057571029663085936,0.010489096144994062,0.6,0.1,4,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8185092640076639,0.8240966428428347,0.8060883098498779,0.7760237381359618,0.814130305656737,0.807769652098615,0.016929251427554835,11
2.358713912963867,0.12664267946771202,0.0450535774230957,0.007174423854585989,0.6,0.1,6,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8242921955406289,0.8152051392673343,0.8048716046880471,0.7860172220106268,0.8161354158701687,0.8093043154753612,0.013176174329735843,7
2.2894453048706054,0.15519106602131372,0.04415993690490723,0.0068203395817468294,0.6,0.1,6,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8189575075934811,0.8184070183491845,0.8028776516619804,0.7815670944812257,0.8102385178077144,0.8064095579787173,0.013752624353933767,15
4.789048862457276,0.18148009534348794,0.08659844398498535,0.010339098659133383,0.6,0.1,6,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8352078277683045,0.826694479495656,0.8064356988303699,0.7821355099553117,0.8225445867142162,0.8146036205527716,0.01873325556098952,2
