mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_leaf,param_clf__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8591069221496582,0.03459104828820358,0.004018449783325195,0.00017355710556622023,10,1,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7378241639546352,0.7844562985781591,0.7458846142387363,0.6597565028968397,0.7356127939833442,0.7327068747303429,0.040516770487017836,10
0.8568942070007324,0.032738042662272614,0.0039694786071777345,0.00021407946083516158,10,1,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.738600431635206,0.7850355729351985,0.7444985731725434,0.659572318682561,0.7352462161541623,0.7325906225159342,0.040662303897451776,12
0.854927396774292,0.0322651378683658,0.00401158332824707,0.0002431393277530478,10,2,2,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.7386188504930145,0.7844544931738356,0.7452756192496849,0.6596633203308243,0.7349447803676313,0.7325914127229981,0.040524173561876264,11
0.856355619430542,0.032367277727495855,0.003973770141601563,0.00018966142671122043,10,2,5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7397379901194657,0.7850147758058793,0.744795712265253,0.6591746832702274,0.7355503358142627,0.7328546994550177,0.040857440650646316,9
1.3461883544921875,0.0599572270406151,0.004420614242553711,0.0002468693132010546,20,1,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7637510809969617,0.7611945198976847,0.7492648499835985,0.708092689046603,0.7490044251521041,0.7462615130153905,0.02001140877511258,4
1.3437274932861327,0.060330974118136045,0.004369163513183593,0.0002344119345072591,20,1,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.7592784100240578,0.761478948807693,0.7472432903363161,0.7171242602783069,0.7507809625834211,0.747181174405959,0.015919484179024963,2
1.327529525756836,0.05791200558131696,0.0044021129608154295,0.00022423078631509768,20,2,2,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.7582541949301141,0.7655138611651953,0.7482659573967286,0.7144874874151322,0.7480767988021669,0.7469196599418674,0.017488357867543155,3
1.3287599563598633,0.059755013580110934,0.004445457458496093,0.00021103115720313287,20,2,5,"{'clf__max_depth': 20, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7596084615380291,0.7651334789779618,0.7460639901274414,0.7148935433342556,0.751036201905402,0.7473471351766179,0.01752247384348417,1
1.469615364074707,0.07353843371089681,0.004537534713745117,0.00021717084432008773,30,1,2,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 2}",0.7564179047575554,0.754149279975198,0.742007722409606,0.6988415449630939,0.7378837157314815,0.7378600335673869,0.02073345349036373,8
1.4695035934448242,0.07212545027381688,0.004475975036621093,0.00023912214419844822,30,1,5,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 1, 'clf__min_samples_split': 5}",0.7565500838847594,0.7550680181468139,0.737972837759791,0.7080106975172524,0.7417376732753541,0.7398678621167942,0.017500328647526164,6
1.4292365074157716,0.07193104141794979,0.004455947875976562,0.00025974316645270323,30,2,2,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 2}",0.7578983188938834,0.7609718347421642,0.7394912474657704,0.7034649188205078,0.7394725079634774,0.7402597655771608,0.02047036645830342,5
1.4282124519348145,0.07298175889404626,0.004464483261108399,0.00021492011884783496,30,2,5,"{'clf__max_depth': 30, 'clf__min_samples_leaf': 2, 'clf__min_samples_split': 5}",0.7551215496199376,0.7569330447707601,0.7378944824346484,0.7009844113367568,0.7404137777878571,0.7382694531899919,0.02013571891849791,7
