mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
58.96554188728332,13.257391272451057,0.1569958209991455,0.019853985406140088,0.05,-1,100,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8341946168819661,0.849006740346849,0.8168498026937084,0.8354366146825353,0.8186397913284001,0.8308255131866916,0.011891025513008116,12
79.21131453514099,13.494162269583489,0.2140653610229492,0.02264518207633574,0.05,-1,100,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8447905702137332,0.8499747587543802,0.8199477437066383,0.8204396631984812,0.8167270252073364,0.830375952216114,0.014040406051048839,14
89.92568335533142,14.315192984874347,0.32185816764831543,0.05211401887878014,0.05,-1,200,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8437400864091849,0.8544398238950689,0.8191559577597873,0.8309940389660226,0.820951872067506,0.833856355819514,0.013506943030727702,1
138.87973308563232,21.835030455400762,0.4136353015899658,0.04681118597651182,0.05,-1,200,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8481940661357479,0.8544632215891041,0.8168253613497545,0.817688025936712,0.823439382186671,0.832122011439598,0.01596969696213956,8
45.556203031539916,11.033416994516436,0.1563715934753418,0.03630120049274611,0.05,10,100,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.83535004039298,0.8474487234182825,0.8168518018871612,0.832262131281529,0.8187001153484298,0.8301225624656766,0.011302084038197512,15
61.527744674682616,17.38134228104775,0.1869178295135498,0.020386834620466494,0.05,10,100,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8395554291887172,0.8469131464828479,0.8146931739452876,0.8213098625800924,0.8175933506071629,0.8280129925608216,0.01281688042791218,16
73.5236620426178,15.818715456398392,0.3261221408843994,0.04827649556978732,0.05,10,200,31,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8454420100490623,0.8535122628789372,0.8205624979108087,0.8236412154410583,0.8211302526415842,0.8328576477842902,0.013846475585512342,5
117.56968016624451,15.624891033236814,0.4046107292175293,0.08488590324801604,0.05,10,200,63,"{'clf__learning_rate': 0.05, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8480588336904064,0.8517980559204656,0.8163905608118612,0.8156092018302268,0.8229543691563563,0.8309622042818633,0.01573912546320806,10
50.82144417762756,7.746687746804531,0.1660454273223877,0.021760958767502222,0.1,-1,100,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8392658459577602,0.8507505143449126,0.817743419140544,0.8255330687720533,0.8213670532563178,0.8309319802943176,0.012302860065734491,11
74.51949982643127,13.920879115572843,0.2284074306488037,0.020988044970744784,0.1,-1,100,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8500463779401107,0.8546248637828502,0.8179447835529091,0.8153774946556217,0.8269443617938608,0.8329875763450705,0.01632235248812475,4
86.93862829208373,11.144225632629189,0.3453957557678223,0.05017030371480931,0.1,-1,200,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8438192093593657,0.8547341026869016,0.8203795835764454,0.8190002732474361,0.8258984785927361,0.832766329492577,0.014105689400979905,6
127.24112706184387,14.614388417348232,0.43419442176818845,0.06104462507709288,0.1,-1,200,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8534764273456297,0.8568730134443897,0.8177763198511893,0.8113998401954986,0.8278192921106933,0.8334689785894802,0.01851092768208836,2
40.95184555053711,7.18126013249121,0.16594033241271972,0.028346073776826887,0.1,10,100,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 31}",0.8415250052502465,0.847465382122508,0.8197174529063126,0.8283528551082282,0.8205475184041531,0.8315216427582897,0.0111721224897722,9
58.14305667877197,5.719483477407746,0.23434958457946778,0.03874624833913172,0.1,10,100,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__num_leaves': 63}",0.8462512372103617,0.8504392236791609,0.8173532517761866,0.8181613691921718,0.8199430334831337,0.8304296230682029,0.014711748306251805,13
80.46480216979981,11.932203355226227,0.3494722843170166,0.10202513058693999,0.1,10,200,31,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 31}",0.8461128178254386,0.8539051664228015,0.8210673556693708,0.8196579860642329,0.8246303160974506,0.8330747284158588,0.014137842820031452,3
64.07041130065917,17.744757144158598,0.2506361484527588,0.044452400427480554,0.1,10,200,63,"{'clf__learning_rate': 0.1, 'clf__max_depth': 10, 'clf__n_estimators': 200, 'clf__num_leaves': 63}",0.8505342254903395,0.8528108391270275,0.8181525879494836,0.8157111606777601,0.8238303035742384,0.8322078233637699,0.016125840341493926,7
