mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__colsample_bytree,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,param_clf__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.816286563873291,0.1049022776472249,0.03253669738769531,0.004067463643721008,0.6,0.05,4,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.7811768527554328,0.6943027958883674,0.7840047777769604,0.8110389878758206,0.7869592339142819,0.7714965296421725,0.040029335953518916,31
1.7679511547088622,0.051013492358897725,0.0326138973236084,0.004718482717690015,0.6,0.05,4,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.7805615815739471,0.6955753042769056,0.7820094488065512,0.8120086760593501,0.7853827382631142,0.7711075497959736,0.039471593247381295,32
3.5526445865631104,0.14542178954540128,0.05739936828613281,0.007127681068014295,0.6,0.05,4,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.810747559423584,0.8129941418656068,0.8022365126510095,0.8273274579114829,0.8040053118467287,0.8114621967396823,0.008891371700953648,22
3.3394585132598875,0.2016244746814877,0.05787005424499512,0.007263296441934066,0.6,0.05,4,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8096676949814067,0.8163907964206492,0.7983578924461988,0.8247634992602586,0.8012386307144287,0.8100837027645884,0.009707510960196224,26
2.6695674896240233,0.07266659977855615,0.04657502174377441,0.0070035296872542965,0.6,0.05,6,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8163177200576743,0.8155973136567395,0.8042050166990348,0.822267662982527,0.8029630869166091,0.8122701600625168,0.007470888911051408,21
2.604789209365845,0.09891171087367759,0.04689879417419433,0.006108066124272701,0.6,0.05,6,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8130001520871328,0.8051356783243885,0.8017461032267333,0.8224312869078547,0.8033047314029392,0.8091235903898097,0.007698212735453757,28
4.904600429534912,0.631495135678621,0.09357919692993164,0.01878549561570765,0.6,0.05,6,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8349784615793939,0.8340785115786018,0.8148316538106067,0.8235743693781084,0.8160086007337465,0.8246943194160915,0.008576652173662663,9
4.722352027893066,0.6589605885631581,0.09166560173034669,0.013819790562847522,0.6,0.05,6,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8331058472850458,0.8200306541200485,0.8079599427266004,0.829522068130117,0.8189593307121823,0.8219155685947988,0.008833265655634486,16
1.829885721206665,0.07102465052449052,0.03135008811950683,0.004137515602428332,0.6,0.1,4,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.810900401574698,0.8201133390036935,0.8045269942191983,0.8273221205167384,0.8030471616811772,0.8131820033991012,0.009282415987238262,18
1.6245957851409911,0.20531211424982157,0.03243598937988281,0.004699720492107602,0.6,0.1,4,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8076949636716855,0.8096477352812417,0.8016667451490952,0.8274088771648014,0.8024435931567594,0.8097723828847165,0.00932512369977929,27
3.353366422653198,0.4067138446202715,0.058430719375610354,0.005655289440894762,0.6,0.1,4,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8347367620245499,0.8359427622167673,0.8164002356861358,0.830776508588037,0.817269981057947,0.8270252499146874,0.008498442023534617,5
3.1459614276885985,0.4131018567471711,0.05769815444946289,0.008470384862294827,0.6,0.1,4,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8307821072224527,0.8360198676377738,0.8161163728348296,0.8267179440136725,0.815909333819353,0.8251091251056163,0.007991508995107742,8
2.634514045715332,0.08455226210182334,0.045106363296508786,0.005766965269685457,0.6,0.1,6,100,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8367705924979633,0.8262457559551956,0.8119334432604116,0.8264013214177731,0.8149263487411198,0.8232554923744926,0.00893374812501538,14
2.359361743927002,0.3412131631307997,0.0464989185333252,0.008040776877781411,0.6,0.1,6,100,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.8340186842237564,0.8204123238624649,0.8106576152308423,0.8330412378026275,0.8156877095151904,0.8227635141269763,0.009321570173613609,15
4.923700857162475,0.7353817144005949,0.08760514259338378,0.00846669555028948,0.6,0.1,6,200,0.8,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.8464513696769108,0.8373292142511904,0.8201190016284596,0.8206071846580489,0.8218691586433133,0.8292751857715845,0.010711749226822368,1
4.448516464233398,0.7253449366550216,0.08698911666870117,0.015615857984571652,0.6,0.1,6,200,1.0,"{'clf__colsample_bytree': 0.6, 'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8440439765175417,0.8341965814469919,0.8180031880111549,0.8176777046735864,0.8213702006561318,0.8270583302610813,0.010409739331266968,4
1.765290117263794,0.26642477792586017,0.030495738983154295,0.0033863632076959094,0.8,0.05,4,100,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.783353027002231,0.7122761443753943,0.7846005228632669,0.8121114696415271,0.7887879685211968,0.7762258264807232,0.033633558140214,29
1.7245333671569825,0.2274527065768625,0.033198881149291995,0.005192835913597066,0.8,0.05,4,100,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 100, 'clf__subsample': 1.0}",0.7801716572109488,0.7081986412460203,0.7823332081192548,0.8145969601243422,0.7894023250439276,0.7749405583488987,0.035547917132276625,30
3.5145332336425783,0.5145319446790375,0.05959029197692871,0.010571634646138932,0.8,0.05,4,200,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 0.8}",0.814034482035499,0.8198975300462361,0.8036707677129704,0.8227856409551485,0.8069031138767415,0.8134583069253191,0.007315206244528443,17
3.2568867683410643,0.5306492368791988,0.054065895080566403,0.007442258182066525,0.8,0.05,4,200,1.0,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 4, 'clf__n_estimators': 200, 'clf__subsample': 1.0}",0.8073838247600995,0.8157637865877846,0.8017577891058629,0.826933247980637,0.8054170005204062,0.8114511297909581,0.00900232783441596,23
2.8491284370422365,0.09054326062162651,0.04643406867980957,0.006484353142663893,0.8,0.05,6,100,0.8,"{'clf__colsample_bytree': 0.8, 'clf__learning_rate': 0.05, 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__subsample': 0.8}",0.8150535099689382,0.8114073471202664,0.8037532459229021,0.8270451968499577,0.8064865690189263,0.8127491737761983,0.008144122740685057,19
