mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__max_features,param_clf__min_samples_leaf,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.874783706665039,0.05476084016308698,0.0519768238067627,0.02553243332702231,10,sqrt,1,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.7722041756130137,0.8203672138223108,0.7681794503350341,0.7995175993454517,0.7845590459389419,0.7889654970109504,0.01913025417942465,35
3.5369554996490478,0.18575344914549596,0.1629563331604004,0.03083549676335174,10,sqrt,1,200,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.7741079349372797,0.8238073140064149,0.7701146194171977,0.801096290675938,0.7831749967732063,0.7904602311620074,0.019796817145224153,31
5.2810554027557375,0.17963614019393342,0.15911927223205566,0.05465462271124259,10,sqrt,1,300,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7736569563463606,0.8259217971556603,0.7688569935976686,0.8021418098629011,0.7835676905514235,0.7908290495028029,0.020927775049846054,27
1.8518609046936034,0.12423065991155795,0.08972983360290528,0.011560186242261227,10,sqrt,2,100,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.7741888778741367,0.8235031128180923,0.7654697012682476,0.8061153923850434,0.7856803560003026,0.7909914880691644,0.021202054901831344,25
3.4580838203430178,0.1179615441588284,0.10283946990966797,0.032769803971270065,10,sqrt,2,200,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 200}",0.7744345015000131,0.8256266084577507,0.7665933529441571,0.8024647229817012,0.7832155076707307,0.7904669387108705,0.021258972677576333,29
5.251746082305909,0.16104312776166166,0.17419028282165527,0.026735483155819157,10,sqrt,2,300,"{'clf__max_depth': 10, 'clf__max_features': 'sqrt', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 300}",0.7742600133482586,0.8231635912337237,0.7687382213868421,0.8013659720022068,0.7839122375426539,0.7902880071027371,0.019826576224579683,33
1.8553402423858643,0.1253791639597576,0.0913205623626709,0.017830646556158982,10,log2,1,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.7722041756130137,0.8203672138223108,0.7681794503350341,0.7995175993454517,0.7845590459389419,0.7889654970109504,0.01913025417942465,35
3.4580450534820555,0.12562776987337113,0.14366650581359863,0.014322808893101335,10,log2,1,200,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 200}",0.7741079349372797,0.8238073140064149,0.7701146194171977,0.801096290675938,0.7831749967732063,0.7904602311620074,0.019796817145224153,31
5.306040477752686,0.1833663010120264,0.23538470268249512,0.02726588552421378,10,log2,1,300,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7736569563463606,0.8259217971556603,0.7688569935976686,0.8021418098629011,0.7835676905514235,0.7908290495028029,0.020927775049846054,27
1.9492388725280763,0.23246020575363358,0.09845051765441895,0.017844372482389004,10,log2,2,100,"{'clf__max_depth': 10, 'clf__max_features': 'log2', 'clf__min_samples_leaf': 2, 'clf__n_estimators': 100}",0.7741888778741367,0.8235031128180923,0.7654697012682476,0.8061153923850434,0.7856803560003026,0.7909914880691644,0.021202054901831344,25
