model,f1_weighted,f1_ci_low,f1_ci_high,overall_accuracy,oa_ci_low,oa_ci_high
RandomForest,0.9508,0.9209,0.9696,0.953,0.9271,0.9707
DecisionTree,0.9205,0.8894,0.9427,0.9209,0.8926,0.9417
XGBoost,0.9541,0.9258,0.9714,0.9556,0.9307,0.9723
LightGBM,0.9566,0.9296,0.9728,0.9579,0.9349,0.9732
LinearSVC,0.9424,0.9117,0.9627,0.9437,0.9166,0.9626
