model,f1_weighted,f1_ci_low,f1_ci_high,overall_accuracy,oa_ci_low,oa_ci_high
RandomForest,0.9107,0.8769,0.9357,0.9134,0.8823,0.9372
DecisionTree,0.85,0.8076,0.8873,0.8332,0.7828,0.8762
XGBoost,0.9118,0.8773,0.9367,0.9149,0.8838,0.9385
LightGBM,0.8864,0.8519,0.9172,0.8768,0.8375,0.9103
LinearSVC,0.8322,0.773,0.878,0.8149,0.7392,0.8675
